nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
Impulse,Serbia,https://www.hltv.org//stats/players/12379/impulse,"['Valiance', 'ONYX', 'lvlUP', 'RESISTANCE']",766,20371,1598,1.12,1.07,14644,35.4,13046,3.6,0.72,0.11,0.64,0.1,0.11,71.2,1.11
dapr,United States,https://www.hltv.org//stats/players/11586/dapr,['eUnited'],594,15426,1002,1.1,1.07,11313,44.1,10311,6.4,0.73,0.15,0.67,0.1,0.11,71.3,1.16
nicoodoz,Denmark,https://www.hltv.org//stats/players/13602/nicoodoz,['Copenhagen Flames'],695,18671,1729,1.15,1.07,13211,31.3,11482,3.2,0.71,0.08,0.61,0.09,0.1,70.9,1.06
YEKINDAR,Latvia,https://www.hltv.org//stats/players/13915/yekindar,"['pro100', 'Virtus.pro', 'EPG']",1078,28645,1449,1.07,1.07,21415,59.2,19966,3.9,0.75,0.13,0.7,0.09,0.09,68.7,1.29
Liazz,Australia,https://www.hltv.org//stats/players/10588/liazz,"['Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM']",964,24883,2106,1.14,1.07,17464,45.8,15358,4.6,0.7,0.15,0.62,0.1,0.11,73.8,1.08
meyern,Argentina,https://www.hltv.org//stats/players/14737/meyern,"['Furious', 'MIBR', 'Isurus', 'Sharks']",426,11104,711,1.1,1.07,8080,54.1,7369,3.5,0.73,0.11,0.66,0.1,0.13,71.3,1.12
NaToSaphiX,Denmark,https://www.hltv.org//stats/players/9294/natosaphix,"['Sprout', 'Nordavind']",948,25338,2439,1.16,1.07,17805,36.8,15366,3.2,0.7,0.1,0.61,0.09,0.1,72.5,1.06
shox,France,https://www.hltv.org//stats/players/1225/shox,"['G2', 'Vitality', 'Envy']",1999,52420,3832,1.11,1.07,38385,48.8,34553,3.0,0.73,0.12,0.66,0.08,0.08,69.5,1.09
iDISBALANCE,Russia,https://www.hltv.org//stats/players/14273/idisbalance,"['Nemiga', 'Spirit']",856,22672,2039,1.14,1.07,16215,27.0,14176,2.5,0.72,0.1,0.63,0.09,0.09,71.7,1.13
autimatic,United States,https://www.hltv.org//stats/players/8735/autimatic,"['Cloud9', 'Gen.G']",1166,30439,2245,1.11,1.07,22601,44.3,20356,3.9,0.74,0.13,0.67,0.1,0.1,71.5,1.12
fejtZ,Estonia,https://www.hltv.org//stats/players/7910/fejtz,"['SMASH', 'ArchAngels']",735,19506,1358,1.1,1.07,14402,46.0,13044,3.6,0.74,0.12,0.67,0.1,0.13,72.0,1.09
jks,Australia,https://www.hltv.org//stats/players/4679/jks,"['Renegades', 'Complexity', '100 Thieves']",1183,30912,2347,1.12,1.07,21807,52.9,19460,5.4,0.71,0.13,0.63,0.09,0.11,72.1,1.05
smike,Ukraine,https://www.hltv.org//stats/players/8526/smike,"[""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck']",480,12461,655,1.08,1.07,9299,33.1,8644,1.4,0.75,0.1,0.69,0.09,0.08,67.0,1.24
NikoM,Argentina,https://www.hltv.org//stats/players/10504/nikom,"['TeamOne', 'Isurus', 'DETONA']",475,12189,864,1.11,1.07,8906,46.3,8042,4.5,0.73,0.14,0.66,0.1,0.11,72.2,1.09
trk,Brazil,https://www.hltv.org//stats/players/11163/trk,"['TeamOne', 'MIBR']",790,20690,1485,1.11,1.07,15052,48.2,13567,4.9,0.73,0.15,0.66,0.12,0.13,73.7,1.12
hallzerk,Norway,https://www.hltv.org//stats/players/12840/hallzerk,"['Dignitas', 'Nordavind']",746,20275,1405,1.11,1.07,14681,34.1,13276,3.1,0.72,0.09,0.65,0.1,0.11,69.9,1.15
dycha,Poland,https://www.hltv.org//stats/players/16080/dycha,"['ENCE', 'Sprout', 'Aristocracy']",766,20522,1244,1.09,1.07,15005,53.8,13761,4.7,0.73,0.14,0.67,0.09,0.09,70.5,1.17
xand,Brazil,https://www.hltv.org//stats/players/9218/xand,"['INTZ', 'Yeah']",515,13210,875,1.1,1.07,9681,50.2,8806,4.7,0.73,0.14,0.67,0.1,0.1,71.7,1.12
paz,Turkey,https://www.hltv.org//stats/players/9353/paz,"['Space Soldiers', 'Sangal']",1068,27990,1998,1.11,1.07,20217,51.2,18219,2.4,0.72,0.12,0.65,0.1,0.1,71.5,1.08
CRUC1AL,Netherlands,https://www.hltv.org//stats/players/7996/cruc1al,"['Endpoint', 'Epsilon']",1461,38299,2796,1.11,1.07,27614,28.9,24818,2.6,0.72,0.1,0.65,0.1,0.11,70.1,1.15
InfrequeNt,Australia,https://www.hltv.org//stats/players/10587/infrequent,"['Athletico', 'Tainted Minds', 'Chiefs']",479,12350,920,1.11,1.07,8937,33.8,8017,4.2,0.72,0.12,0.65,0.09,0.1,70.2,1.18
HObbit,Kazakhstan,https://www.hltv.org//stats/players/8528/hobbit,"['Gambit', 'Winstrike']",1147,30237,2223,1.11,1.07,21968,46.6,19745,5.6,0.73,0.15,0.65,0.08,0.09,71.5,1.13
boltz,Brazil,https://www.hltv.org//stats/players/8568/boltz,"['Immortals', 'Luminosity', 'SK', 'MIBR']",1259,32756,2605,1.13,1.07,23379,39.4,20774,8.8,0.71,0.17,0.63,0.08,0.09,72.3,1.09
EspiranTo,Lithuania,https://www.hltv.org//stats/players/12030/espiranto,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",871,22800,1316,1.08,1.07,16973,59.9,15656,3.2,0.74,0.11,0.69,0.1,0.1,70.3,1.16
WorldEdit,Russia,https://www.hltv.org//stats/players/7403/worldedit,"['FlipSid3', 'pro100', 'Winstrike']",1328,34716,2476,1.11,1.07,25226,28.0,22750,2.6,0.73,0.12,0.66,0.08,0.08,69.0,1.15
QKA,China,https://www.hltv.org//stats/players/11355/qka,"['5POWER', 'UYA', 'BOOT']",402,10409,702,1.1,1.07,7690,40.4,6988,1.6,0.74,0.1,0.67,0.08,0.09,69.5,1.16
FalleN,Brazil,https://www.hltv.org//stats/players/2023/fallen,"['SK', 'MIBR', 'Luminosity']",1538,40215,3654,1.15,1.07,27904,30.8,24250,3.5,0.69,0.11,0.6,0.08,0.08,71.8,1.08
somebody,China,https://www.hltv.org//stats/players/8605/somebody,['TYLOO'],1253,32437,2141,1.1,1.07,23702,45.8,21561,3.5,0.73,0.13,0.66,0.1,0.09,71.6,1.16
Brollan,Sweden,https://www.hltv.org//stats/players/13666/brollan,"['fnatic', 'GODSENT']",967,25710,1506,1.09,1.07,18732,52.5,17226,4.7,0.73,0.13,0.67,0.09,0.1,70.6,1.17
shroud,Canada,https://www.hltv.org//stats/players/8349/shroud,['Cloud9'],676,17460,1311,1.12,1.07,12588,52.9,11277,3.9,0.72,0.14,0.65,0.09,0.11,71.5,1.04
Pimp,Denmark,https://www.hltv.org//stats/players/7154/pimp,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",976,25052,2016,1.13,1.07,18116,46.6,16100,3.9,0.72,0.14,0.64,0.1,0.11,70.8,1.05
fame,Russia,https://www.hltv.org//stats/players/20101/fame,"['K23', 'SG.pro']",491,13123,854,1.1,1.07,9589,57.6,8735,3.2,0.73,0.11,0.67,0.08,0.11,70.6,1.15
hardzao,Brazil,https://www.hltv.org//stats/players/16817/hardzao,"['paiN', 'DETONA']",655,17219,1454,1.14,1.07,12073,47.1,10619,4.5,0.7,0.12,0.62,0.1,0.1,73.3,1.04
anarkez,Israel,https://www.hltv.org//stats/players/11815/anarkez,"['Finest', 'Secret']",666,17822,1223,1.11,1.07,12819,30.8,11596,2.3,0.72,0.09,0.65,0.09,0.08,69.2,1.18
roeJ,Denmark,https://www.hltv.org//stats/players/14419/roej,"['Copenhagen Flames', 'MAD Lions', 'Tricked']",865,22846,1395,1.09,1.07,17051,55.5,15656,4.3,0.75,0.15,0.69,0.11,0.11,71.7,1.22
shz,Brazil,https://www.hltv.org//stats/players/11739/shz,"['Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM']",794,20588,1444,1.11,1.07,14776,51.2,13332,3.2,0.72,0.13,0.65,0.1,0.11,71.7,1.05
chelo,Brazil,https://www.hltv.org//stats/players/10566/chelo,"['MIBR', 'INTZ', 'Luminosity']",872,22547,1412,1.1,1.07,16149,60.9,14737,3.6,0.72,0.13,0.65,0.1,0.1,72.0,1.15
DD,China,https://www.hltv.org//stats/players/7026/dd,"['TYLOO', 'OneThree']",913,23620,1521,1.1,1.07,17368,41.9,15847,3.1,0.74,0.16,0.67,0.11,0.1,72.8,1.13
broky,Latvia,https://www.hltv.org//stats/players/18053/broky,"['FaZe', 'Epsilon']",656,17484,1484,1.14,1.06,12148,38.6,10664,3.6,0.69,0.1,0.61,0.1,0.11,72.5,1.01
NikkeZ,Australia,https://www.hltv.org//stats/players/9676/nikkez,"['Ground Zero', 'Athletico', 'Legacy']",399,10276,556,1.08,1.06,7677,46.5,7121,4.4,0.75,0.15,0.69,0.09,0.1,69.9,1.15
snatchie,Poland,https://www.hltv.org//stats/players/9574/snatchie,"['AGO', 'Virtus.pro', 'Sprout']",1548,41527,2472,1.09,1.06,30062,29.3,27589,1.6,0.72,0.09,0.66,0.08,0.09,68.7,1.15
zhokiNg,China,https://www.hltv.org//stats/players/8601/zhoking,"['ViCi', 'VG.CyberZen']",1197,30537,1457,1.07,1.06,22986,51.0,21529,3.8,0.75,0.17,0.71,0.12,0.1,72.7,1.28
ofnu,New Zealand,https://www.hltv.org//stats/players/8767/ofnu,"['Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox']",852,21778,1380,1.1,1.06,15793,48.9,14413,5.2,0.73,0.15,0.66,0.1,0.1,71.4,1.11
AnJ,Denmark,https://www.hltv.org//stats/players/9317/anj,"['NRG', 'Singularity', 'Tricked']",403,10503,763,1.11,1.06,7530,50.7,6767,3.8,0.72,0.12,0.64,0.09,0.12,71.7,1.09
Ethan,United States,https://www.hltv.org//stats/players/10671/ethan,"['NRG', 'CLG', 'Evil Geniuses']",986,25998,1488,1.09,1.06,18853,49.4,17365,4.3,0.73,0.15,0.67,0.11,0.11,72.1,1.18
Happy,France,https://www.hltv.org//stats/players/7429/happy,"['Envy', 'LDLC']",1464,37933,2745,1.11,1.06,28022,41.2,25277,2.7,0.74,0.12,0.67,0.06,0.07,67.8,1.0
acoR,Denmark,https://www.hltv.org//stats/players/10330/acor,"['Tricked', 'North Academy', 'MAD Lions', 'MOUZ']",1057,27637,1982,1.11,1.06,19475,38.1,17493,3.7,0.7,0.1,0.63,0.09,0.1,69.9,1.1
b1t,Ukraine,https://www.hltv.org//stats/players/18987/b1t,"['Natus Vincere', 'NAVI Junior']",420,11153,806,1.11,1.06,7855,68.4,7049,4.4,0.7,0.11,0.63,0.09,0.1,72.0,1.12
SHiPZ,Bulgaria,https://www.hltv.org//stats/players/11343/shipz,"['SKADE', 'Windigo']",1645,43845,2140,1.07,1.06,32404,50.0,30264,3.6,0.74,0.13,0.69,0.1,0.1,70.4,1.15
COLDYY1,Ukraine,https://www.hltv.org//stats/players/9083/coldyy1,['Spirit'],947,24917,1718,1.11,1.06,17902,55.1,16184,3.9,0.72,0.13,0.65,0.09,0.11,71.5,1.07
flying,China,https://www.hltv.org//stats/players/16872/flying,['Invictus'],393,10502,548,1.08,1.06,7736,50.7,7188,3.7,0.74,0.12,0.68,0.09,0.1,70.8,1.08
SLOWLY,China,https://www.hltv.org//stats/players/15683/slowly,"['TYLOO', 'EHOME']",523,13867,679,1.07,1.06,10108,59.4,9429,2.9,0.73,0.13,0.68,0.1,0.11,71.8,1.15
Valiance,Australia,https://www.hltv.org//stats/players/16323/valiance,"['ORDER', 'Paradox']",646,16727,1090,1.1,1.06,11723,51.5,10633,3.6,0.7,0.13,0.64,0.1,0.11,72.4,1.04
Skadoodle,United States,https://www.hltv.org//stats/players/7440/skadoodle,['Cloud9'],1047,27129,2458,1.15,1.06,18365,24.8,15907,2.7,0.68,0.11,0.59,0.09,0.09,73.1,0.95
pancc,Brazil,https://www.hltv.org//stats/players/16314/pancc,"['W7M', 'Sharks']",581,15327,787,1.08,1.06,11087,53.6,10300,5.2,0.72,0.14,0.67,0.09,0.1,70.3,1.15
b4rtiN,Brazil,https://www.hltv.org//stats/players/17585/b4rtin,"['GODSENT', 'TeamOne']",512,13404,869,1.1,1.06,9496,55.3,8627,3.6,0.71,0.12,0.64,0.1,0.11,72.9,1.06
koosta,United States,https://www.hltv.org//stats/players/9056/koosta,"['CLG', 'Ghost', 'Gen.G', 'Enemy']",977,25766,1341,1.08,1.06,18522,37.3,17181,3.6,0.72,0.12,0.67,0.09,0.1,69.5,1.12
Maka,France,https://www.hltv.org//stats/players/13138/maka,"['Heretics', 'LDLC', '3DMAX']",1175,31236,2062,1.1,1.06,22108,36.0,20046,4.6,0.71,0.11,0.64,0.09,0.08,69.9,1.15
suNny,Finland,https://www.hltv.org//stats/players/5479/sunny,"['ENCE', 'MOUZ', 'PENTA']",1311,34560,1609,1.07,1.06,25460,47.4,23851,4.9,0.74,0.14,0.69,0.09,0.09,70.0,1.14
tucks,Australia,https://www.hltv.org//stats/players/9108/tucks,['Chiefs'],718,18208,1227,1.1,1.06,12952,43.9,11725,4.1,0.71,0.13,0.64,0.09,0.09,71.2,1.11
TOR,Thailand,https://www.hltv.org//stats/players/9288/tor,"['Signature', 'Beyond']",452,11472,657,1.09,1.06,8271,28.9,7614,2.9,0.72,0.12,0.66,0.08,0.09,68.9,1.14
olofmeister,Sweden,https://www.hltv.org//stats/players/885/olofmeister,"['fnatic', 'FaZe']",1560,40776,2696,1.1,1.06,29037,46.6,26340,4.4,0.71,0.13,0.65,0.09,0.08,69.3,1.01
malbsMd,Guatemala,https://www.hltv.org//stats/players/11617/malbsmd,"['TeamOne', 'Infinity']",525,13434,369,1.04,1.06,10096,62.9,9727,4.8,0.75,0.12,0.72,0.11,0.11,68.8,1.2
nexa,Serbia,https://www.hltv.org//stats/players/9618/nexa,"['G2', 'Valiance', 'Imperial']",1231,32586,2160,1.1,1.05,22808,51.0,20648,4.4,0.7,0.13,0.63,0.1,0.11,73.3,1.02
Gratisfaction,New Zealand,https://www.hltv.org//stats/players/9686/gratisfaction,"['Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM']",897,23347,1689,1.12,1.05,16191,31.9,14502,3.3,0.69,0.12,0.62,0.1,0.1,70.8,1.14
KEi,Poland,https://www.hltv.org//stats/players/17504/kei,"['AVEZ', 'Anonymo', 'Sprout']",633,17036,650,1.05,1.05,12649,46.4,11999,4.8,0.74,0.15,0.7,0.09,0.09,69.7,1.22
REDSTAR,Bulgaria,https://www.hltv.org//stats/players/15369/redstar,"['Fiend', 'Bpro']",614,16301,1143,1.11,1.05,11529,48.3,10386,4.3,0.71,0.12,0.64,0.1,0.1,71.6,1.08
rallen,Poland,https://www.hltv.org//stats/players/5388/rallen,"['Kinguin', 'AGO']",1745,46592,2994,1.1,1.05,33560,43.0,30566,7.4,0.72,0.16,0.66,0.09,0.09,71.3,1.12
Sobol,Poland,https://www.hltv.org//stats/players/15940/sobol,"['Wisla Krakow', 'PACT']",775,20957,1121,1.08,1.05,15028,52.1,13902,4.2,0.72,0.13,0.66,0.08,0.08,70.7,1.07
bottle,China,https://www.hltv.org//stats/players/10168/bottle,"['Invictus', 'Born Of Fire', 'Eclipse', '5POWER', 'CyberZen']",768,19801,871,1.06,1.05,14489,56.8,13618,3.6,0.73,0.14,0.69,0.1,0.1,71.1,1.11
iM,Romania,https://www.hltv.org//stats/players/14759/im,"['GamerLegion', 'Nexus']",763,20486,842,1.06,1.05,15153,48.7,14311,3.7,0.74,0.13,0.7,0.09,0.09,69.9,1.17
tabseN,Germany,https://www.hltv.org//stats/players/5794/tabsen,"['BIG', 'PENTA', 'MOUZ']",1906,50299,1566,1.04,1.05,36872,48.9,35306,8.1,0.73,0.16,0.7,0.09,0.09,69.5,1.24
ISSAA,Jordan,https://www.hltv.org//stats/players/10449/issaa,"['HellRaisers', 'OG']",870,22834,1402,1.09,1.05,16229,55.5,14827,3.6,0.71,0.12,0.65,0.1,0.11,72.1,1.06
zeph,Australia,https://www.hltv.org//stats/players/13054/zeph,"['ORDER', 'Chiefs', 'Ground Zero']",555,14146,585,1.06,1.05,10452,48.7,9867,3.9,0.74,0.13,0.7,0.1,0.1,69.3,1.21
Rainwaker,Bulgaria,https://www.hltv.org//stats/players/17145/rainwaker,['SKADE'],1077,29055,1848,1.1,1.05,20281,42.5,18433,4.5,0.7,0.13,0.63,0.08,0.1,72.4,1.05
JW,Sweden,https://www.hltv.org//stats/players/3849/jw,['fnatic'],1930,50719,2512,1.07,1.05,37047,36.6,34535,4.0,0.73,0.14,0.68,0.08,0.08,67.6,1.16
Ramz1kBO$$,Kazakhstan,https://www.hltv.org//stats/players/11842/ramz1kbo,"['Tengri', 'Syman']",425,11070,553,1.07,1.05,8110,33.8,7557,1.5,0.73,0.1,0.68,0.07,0.08,67.2,1.2
TeSeS,Denmark,https://www.hltv.org//stats/players/12018/teses,"['Heroic', 'Copenhagen Flames']",799,21344,1033,1.07,1.05,15351,55.3,14318,4.5,0.72,0.13,0.67,0.11,0.12,71.2,1.12
HZ,China,https://www.hltv.org//stats/players/7016/hz,"['TYLOO', 'CyberZen', 'AllGamers']",500,12856,691,1.08,1.05,9305,49.4,8614,3.8,0.72,0.17,0.67,0.13,0.12,73.8,1.14
cajunb,Denmark,https://www.hltv.org//stats/players/2469/cajunb,"['North', 'TSM', 'OpTic', 'Dignitas']",1745,45680,2884,1.1,1.05,31980,41.0,29096,3.1,0.7,0.12,0.64,0.09,0.1,70.1,1.02
mou,Kazakhstan,https://www.hltv.org//stats/players/964/mou,"['Gambit', 'K23', 'HellRaisers', 'Syman']",1489,39475,2484,1.1,1.05,28048,28.0,25564,4.0,0.71,0.11,0.65,0.08,0.09,69.7,1.13
juanflatroo,Kosovo,https://www.hltv.org//stats/players/17147/juanflatroo,"['BLINK', 'Secret']",532,14210,416,1.04,1.05,10762,57.2,10346,5.3,0.76,0.13,0.73,0.1,0.1,68.7,1.17
Grim,United States,https://www.hltv.org//stats/players/13578/grim,"['Liquid', 'Triumph', 'Dignitas', 'Spacestation']",870,22901,783,1.05,1.05,16450,47.9,15667,3.6,0.72,0.13,0.68,0.12,0.13,71.7,1.11
sdy,Ukraine,https://www.hltv.org//stats/players/12731/sdy,['Spirit'],1054,27638,1872,1.11,1.05,19254,50.8,17382,4.2,0.7,0.13,0.63,0.1,0.11,72.6,1.04
KRIMZ,Sweden,https://www.hltv.org//stats/players/7528/krimz,['fnatic'],1772,46627,3043,1.1,1.05,32732,40.8,29689,4.2,0.7,0.15,0.64,0.09,0.1,71.3,1.01
Marcelious,Norway,https://www.hltv.org//stats/players/14602/marcelious,"['Apeks', '777', 'NOREG']",464,12520,627,1.08,1.05,8902,31.2,8275,3.2,0.71,0.1,0.66,0.1,0.11,69.3,1.1
yay,United States,https://www.hltv.org//stats/players/8513/yay,"['Complexity', 'Orgless']",653,17182,604,1.05,1.05,12452,46.7,11848,3.4,0.72,0.13,0.69,0.1,0.11,69.9,1.16
Qikert,Kazakhstan,https://www.hltv.org//stats/players/13239/qikert,"['AVANGAR', 'Virtus.pro']",1234,32625,1982,1.09,1.05,22914,56.4,20932,4.7,0.7,0.13,0.64,0.1,0.1,72.0,1.09
refrezh,Denmark,https://www.hltv.org//stats/players/10610/refrezh,"['Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic']",953,25375,1383,1.08,1.05,17918,49.4,16535,3.4,0.71,0.11,0.65,0.1,0.1,71.7,1.06
SicK,United States,https://www.hltv.org//stats/players/9258/sick,"['Rogue', 'Misfits', 'TSM']",795,20701,1040,1.07,1.05,15002,49.8,13962,2.6,0.72,0.13,0.67,0.1,0.12,71.9,1.11
NEEX,Poland,https://www.hltv.org//stats/players/8543/neex,"['Izako Boars', 'ESC']",429,11195,574,1.08,1.05,8076,31.3,7502,1.6,0.72,0.09,0.67,0.08,0.1,68.2,1.09
Aerial,Finland,https://www.hltv.org//stats/players/4076/aerial,"['HAVU', 'ENCE']",941,24972,1215,1.07,1.05,17881,41.6,16666,2.7,0.72,0.15,0.67,0.11,0.11,72.5,1.13
stavn,Denmark,https://www.hltv.org//stats/players/10994/stavn,"['Heroic', 'Fragsters']",1088,28991,1373,1.07,1.05,21088,43.1,19715,4.0,0.73,0.14,0.68,0.1,0.1,70.6,1.14
loWel,Spain,https://www.hltv.org//stats/players/3997/lowel,"['Movistar Riders', 'PENTA', 'MOUZ']",1008,26413,1739,1.1,1.05,18549,47.5,16810,4.5,0.7,0.13,0.64,0.09,0.11,73.1,0.97
Flarich,Latvia,https://www.hltv.org//stats/players/11250/flarich,"['HellRaisers', 'pro100']",1058,28161,1801,1.1,1.05,19389,55.2,17588,3.7,0.69,0.11,0.62,0.08,0.1,71.6,0.98
raafa,Brazil,https://www.hltv.org//stats/players/11748/raafa,"['W7M', 'Keyd']",640,16832,1092,1.1,1.05,11650,27.4,10558,3.7,0.69,0.11,0.63,0.07,0.08,69.1,1.08
Zellsis,United States,https://www.hltv.org//stats/players/13188/zellsis,"['Swole Patrol', 'Lazarus']",626,16210,803,1.07,1.05,11657,46.4,10854,4.8,0.72,0.15,0.67,0.1,0.11,71.5,1.11
flusha,Sweden,https://www.hltv.org//stats/players/3055/flusha,['fnatic'],1868,49019,2712,1.08,1.05,34701,42.0,31989,9.1,0.71,0.17,0.65,0.09,0.08,70.2,1.06
WolfY,United States,https://www.hltv.org//stats/players/12937/wolfy,"['ECSTATIC', 'Lyngby Vikings', 'Secret Club']",527,14037,993,1.11,1.05,9766,34.7,8773,3.0,0.7,0.1,0.62,0.09,0.11,71.7,1.06
rommi,Russia,https://www.hltv.org//stats/players/10589/rommi,"['Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",516,13467,604,1.06,1.05,9899,50.8,9295,3.7,0.74,0.14,0.69,0.08,0.1,69.7,1.05
Bwills,United States,https://www.hltv.org//stats/players/16647/bwills,"['Triumph', 'Infamous']",747,19299,925,1.07,1.05,13698,51.4,12773,6.2,0.71,0.15,0.66,0.12,0.14,72.6,1.06
cadiaN,Denmark,https://www.hltv.org//stats/players/7964/cadian,"['Heroic', 'Rogue', 'SK']",1443,38127,2478,1.1,1.05,26511,27.6,24033,4.6,0.7,0.11,0.63,0.09,0.08,70.4,1.12
kabal,Mongolia,https://www.hltv.org//stats/players/10870/kabal,"['5POWER', 'TheMongolz', 'TIGER']",771,20216,1111,1.08,1.04,14338,46.0,13227,4.6,0.71,0.13,0.65,0.08,0.09,71.1,1.06
malta,Australia,https://www.hltv.org//stats/players/11485/malta,"['Grayhound', 'Chiefs', 'Renegades']",989,25205,1445,1.09,1.04,17507,39.7,16062,3.7,0.69,0.15,0.64,0.09,0.08,71.9,1.08
MarKE,Mexico,https://www.hltv.org//stats/players/10892/marke,"['Extra Salt', 'eUnited', 'Swole Patrol']",926,23830,1348,1.09,1.04,16750,53.1,15402,5.2,0.7,0.15,0.65,0.11,0.12,72.9,1.1
Swahn,United States,https://www.hltv.org//stats/players/15255/swahn,"['Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz']",374,9836,558,1.09,1.04,6902,25.5,6344,3.6,0.7,0.1,0.64,0.1,0.1,69.6,1.11
Kjaerbye,Denmark,https://www.hltv.org//stats/players/8394/kjaerbye,"['North', 'Dignitas', 'Astralis']",1519,39947,2110,1.08,1.04,28410,52.9,26300,3.9,0.71,0.14,0.66,0.09,0.1,70.1,1.1
afro,France,https://www.hltv.org//stats/players/19926/afro,"['HEET', 'DBL PONEY', 'LDLC']",547,14615,806,1.09,1.04,10077,35.3,9271,5.4,0.69,0.11,0.63,0.08,0.09,69.8,1.11
FASHR,Netherlands,https://www.hltv.org//stats/players/11954/fashr,"['ECSTATIC', 'Lyngby Vikings', 'Defusekids']",689,18214,641,1.05,1.04,13083,49.0,12442,5.3,0.72,0.15,0.68,0.11,0.13,71.6,1.14
n0rb3r7,Russia,https://www.hltv.org//stats/players/16612/n0rb3r7,"['K23', 'Winstrike', 'Syman']",1049,28055,829,1.04,1.04,20194,50.8,19365,4.2,0.72,0.13,0.69,0.08,0.07,68.4,1.16
DavCost,Russia,https://www.hltv.org//stats/players/8124/davcost,"['INDE IRAE', 'Spirit', '1WIN']",1249,32934,1838,1.09,1.04,23087,32.5,21249,3.2,0.7,0.12,0.65,0.09,0.09,69.8,1.08
zewsy,New Zealand,https://www.hltv.org//stats/players/8764/zewsy,"['Tainted Minds', 'Chiefs', 'Winterfox']",618,15666,667,1.06,1.04,11142,41.0,10475,3.4,0.71,0.16,0.67,0.11,0.1,72.0,1.11
STOMP,Poland,https://www.hltv.org//stats/players/12699/stomp,"['x-kom', 'Izako Boars', 'Illuminar', 'HONORIS']",809,21729,1329,1.1,1.04,15139,26.1,13810,3.9,0.7,0.11,0.64,0.08,0.09,69.7,1.11
aumaN,China,https://www.hltv.org//stats/players/8604/auman,['ViCi'],874,22423,1183,1.08,1.04,15892,41.7,14709,5.8,0.71,0.16,0.66,0.08,0.08,71.1,1.11
jkaem,Norway,https://www.hltv.org//stats/players/8248/jkaem,"['Apeks', 'Renegades', 'FaZe', '100 Thieves']",1280,33769,1105,1.05,1.04,24647,51.6,23542,3.7,0.73,0.14,0.7,0.11,0.11,70.4,1.16
Snakes,United States,https://www.hltv.org//stats/players/13229/snakes,"['Spacestation', 'The Quest', 'SoaR']",403,10328,461,1.07,1.04,7287,43.3,6826,4.5,0.71,0.13,0.66,0.11,0.1,71.4,1.06
Hiko,United States,https://www.hltv.org//stats/players/2644/hiko,"['Liquid', 'Rogue']",937,24398,1532,1.1,1.04,16611,53.9,15079,5.0,0.68,0.14,0.62,0.1,0.11,71.8,0.9
Geniuss,Thailand,https://www.hltv.org//stats/players/12564/geniuss,"['Signature', 'Beyond', 'Lucid Dream']",398,10155,309,1.04,1.04,7345,56.4,7036,3.3,0.72,0.13,0.69,0.11,0.11,71.6,1.17
Snax,Poland,https://www.hltv.org//stats/players/2553/snax,"['Virtus.pro', 'Anonymo']",2103,55469,2796,1.08,1.04,39086,36.5,36290,4.4,0.7,0.13,0.65,0.08,0.08,69.0,1.07
KHTEX,Brazil,https://www.hltv.org//stats/players/10842/khtex,"['Paquetá', 'Wild', 'Virtue']",607,15652,890,1.09,1.04,10950,45.5,10060,4.2,0.7,0.13,0.64,0.09,0.11,71.6,1.05
Lucky,Denmark,https://www.hltv.org//stats/players/13843/lucky,"['Tricked', 'Astralis']",434,11721,670,1.09,1.04,8079,40.5,7409,2.8,0.69,0.09,0.63,0.09,0.1,69.7,1.05
HSK,Korea,https://www.hltv.org//stats/players/9174/hsk,"['MVP PK', 'MVP Project', 'GOSU']",540,13851,845,1.1,1.04,9678,31.1,8833,4.5,0.7,0.14,0.64,0.12,0.12,72.5,1.09
motm,United States,https://www.hltv.org//stats/players/13230/motm,"['ATK', 'Cloud9']",906,23901,867,1.05,1.04,17181,51.0,16314,3.1,0.72,0.11,0.68,0.11,0.12,70.6,1.1
fnx,Brazil,https://www.hltv.org//stats/players/557/fnx,"['Imperial', 'Luminosity', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como']",644,16496,853,1.08,1.04,11678,49.7,10825,6.0,0.71,0.16,0.66,0.09,0.09,72.0,1.08
imoRR,Turkey,https://www.hltv.org//stats/players/15835/imorr,"['Eternal Fire', 'Sangal', 'Royal Bandits']",603,16095,279,1.02,1.04,11800,50.9,11512,4.4,0.73,0.13,0.71,0.1,0.09,68.8,1.28
